movie_id,title,year,rating,duration,metascore,actors
tt0167261,The Lord of the Rings: The Two Towers,2002,8.8,179,87,nm0000704:Elijah Wood|nm0005212:Ian McKellen|nm0001557:Viggo Mortensen|nm0089217:Orlando Bloom|nm0021600:Bruce Allpress|nm0000276:Sean Astin|nm0045324:John Bach|nm1019674:Sala Baker|nm0000949:Cate Blanchett|nm0101710:Billy Boyd|nm0112400:Jed Brophy|nm1275186:Sam Comery|nm0000374:Brad Dourif|nm1275727:Calum Gittins|nm0384060:Bernard Hill|nm0394126:Bruce Hopkins|nm1277591:Paris Howe Strewe|nm0000489:Christopher Lee
tt0137523,Fight Club,1999,8.8,139,67,nm0000093:Brad Pitt|nm0001570:Edward Norton|nm0001533:Meat Loaf|nm0340260:Zach Grenier|nm0037118:Richmond Arquette|nm0028625:David Andrews|nm0536574:George Maguire|nm0094163:Eugenie Bondurant|nm0127680:Christina Cabot|nm0000307:Helena Bonham Carter|nm0173257:Sydney 'Big Dawg' Colston|nm0802019:Rachel Singer|nm0188728:Christie Cronenweth|nm0212498:Tim DeZarn|nm0125653:Ezra Buzzington|nm0236148:Dierdre Downing-Jackson|nm0827307:Bob Stephenson|nm0217301:Charlie Dell
tt1375666,Inception,2010,8.8,148,74,nm0000138:Leonardo DiCaprio|nm0330687:Joseph Gordon-Levitt|nm0680983:Elliot Page|nm0913822:Ken Watanabe|nm0362766:Tom Hardy|nm2438307:Dileep Rao|nm0614165:Cillian Murphy|nm0000297:Tom Berenger|nm0182839:Marion Cotillard|nm0000592:Pete Postlethwaite|nm0000323:Michael Caine|nm0001305:Lukas Haas|nm2581730:Tai-Li Lee|nm3637500:Claire Geare|nm3960408:Magnus Nolan|nm2855622:Taylor Geare|nm3638213:Johnathan Geare|nm0556070:Tohoru Masamune
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,124,82,nm0000434:Mark Hamill|nm0000148:Harrison Ford|nm0000402:Carrie Fisher|nm0001850:Billy Dee Williams|nm0000355:Anthony Daniels|nm0001190:David Prowse|nm0562679:Peter Mayhew|nm0048652:Kenny Baker|nm0000568:Frank Oz|nm0000027:Alec Guinness|nm0120116:Jeremy Bulloch|nm0391197:John Hollis|nm0701023:Jack Purvis|nm0916088:Des Webb|nm0720890:Clive Revill|nm0171829:Kenneth Colley|nm0002103:Julian Glover|nm0790410:Michael Sheard
tt0099685,GoodFellas,1990,8.7,145,92,nm0000134:Robert De Niro|nm0000501:Ray Liotta|nm0000582:Joe Pesci|nm0000966:Lorraine Bracco|nm0000649:Paul Sorvino|nm0803370:Frank Sivero|nm0201700:Tony Darrow|nm0823563:Mike Starr|nm0898634:Frank Vincent|nm0522797:Chuck Low|nm0226746:Frank DiLeo|nm0950267:Henny Youngman|nm0557848:Gina Mastrogiacomo|nm0778734:Catherine Scorsese|nm0778737:Charles Scorsese|nm0791877:Suzanne Shepherd|nm0000529:Debi Mazar|nm0935247:Margo Winkler
tt0133093,The Matrix,1999,8.7,136,73,nm0000206:Keanu Reeves|nm0000401:Laurence Fishburne|nm0005251:Carrie-Anne Moss|nm0915989:Hugo Weaving|nm0287825:Gloria Foster|nm0001592:Joe Pantoliano|nm0159059:Marcus Chong|nm0032810:Julian Arahanga|nm0233391:Matt Doran|nm0565883:Belinda McClory|nm0662562:Anthony Ray Parker|nm0323822:Paul Goddard|nm0853079:Robert Taylor|nm0040058:David Aston|nm0336802:Marc Aden Gray|nm0630124:Ada Nicodemou|nm0330139:Deni Gordon|nm0936894:Rowan Witt
tt0816692,Interstellar,2014,8.7,169,74,nm0000190:Matthew McConaughey|nm0004266:Anne Hathaway|nm1567113:Jessica Chastain|nm3237775:Mackenzie Foy|nm0000995:Ellen Burstyn|nm0001475:John Lithgow|nm3154303:Timothée Chalamet|nm0654648:David Oyelowo|nm2180792:Collette Wolfe|nm0565133:Francis X. McCarthy|nm0410347:Bill Irwin|nm0095960:Andrew Borba|nm0004747:Wes Bentley|nm0001137:William Devane|nm0000323:Michael Caine|nm1408543:David Gyasi|nm1577637:Josh Stewart|nm0000729:Casey Affleck
tt0073486,One Flew Over the Cuckoo's Nest,1975,8.7,133,84,nm0000197:Jack Nicholson|nm0001221:Louise Fletcher|nm0077720:Michael Berryman|nm0110480:Peter Brocco|nm0111954:Dean R. Brooks|nm0113000:Alonzo Brown|nm0001079:Scatman Crothers|nm0191784:Mwako Cumbuka|nm0000362:Danny DeVito|nm0240239:William Duell|nm0253574:Josip Elic|nm0271753:Lan Fendors|nm0313554:Nathan George|nm0448589:Ken Kenny|nm0483256:Mel Lambert|nm0489861:Sydney Lassick|nm0497656:Kay Lee|nm0000502:Christopher Lloyd
tt0114369,Se7en,1995,8.6,127,65,nm0000151:Morgan Freeman|nm0000093:Brad Pitt|nm0000228:Kevin Spacey|nm0001825:Andrew Kevin Walker|nm0669254:Daniel Zacapa|nm0000569:Gwyneth Paltrow|nm0144307:John Cassini|nm0532943:Bob Mack|nm0188598:Peter Crombie|nm0146146:Reg E. Cathey|nm0000388:R. Lee Ermey|nm0160690:George Christy|nm0401352:Endre Hules|nm0416551:Hawthorne James|nm0203525:William Davidson|nm0172172:Bob Collins|nm0367211:Jimmy Dale Hartsell|nm0745780:Richard Roundtree
tt0038650,It's a Wonderful Life,1947,8.6,130,89,nm0000071:James Stewart|nm0001656:Donna Reed|nm0000859:Lionel Barrymore|nm0593775:Thomas Mitchell|nm0871287:Henry Travers|nm0094135:Beulah Bondi|nm0269709:Frank Faylen|nm0000955:Ward Bond|nm0002108:Gloria Grahame|nm0912478:H.B. Warner|nm0007214:Frank Albertson|nm0439851:Todd Karns|nm0385594:Samuel S. Hinds|nm0871695:Mary Treen|nm0666634:Virginia Patton|nm0930239:Charles Williams|nm0250352:Sarah Edwards|nm0249602:William Edmunds
